state_abs,coords
AL,32.7794°N 86.8287°W
AK,64.0685°N 152.2782°W
AZ,34.2744°N 111.6602°W
AR,34.8938°N 92.4426°W
CA,37.1841°N 119.4696°W
CO,38.9972°N 105.5478°W
CT,41.6219°N 72.7273°W
DE,38.9896°N 75.5050°W
DC,38.9101°N 77.0147°W
FL,28.6305°N 82.4497°W
GA,32.6415°N 83.4426°W
HI,20.2927°N 156.3737°W
ID,44.3509°N 114.6130°W
IL,40.0417°N 89.1965°W
IN,39.8942°N 86.2816°W
IA,42.0751°N 93.4960°W
KS,38.4937°N 98.3804°W
KY,37.5347°N 85.3021°W
LA,31.0689°N 91.9968°W
ME,45.3695°N 69.2428°W
MD,39.0550°N 76.7909°W
MA,42.2596°N 71.8083°W
MI,44.3467°N 85.4102°W
MN,46.2807°N 94.3053°W
MS,32.7364°N 89.6678°W
MO,38.3566°N 92.4580°W
MT,47.0527°N 109.6333°W
NE,41.5378°N 99.7951°W
NV,39.3289°N 116.6312°W
NH,43.6805°N 71.5811°W
NJ,40.1907°N 74.6728°W
NM,34.4071°N 106.1126°W
NY,42.9538°N 75.5268°W
NC,35.5557°N 79.3877°W
ND,47.4501°N 100.4659°W
OH,40.2862°N 82.7937°W
OK,35.5889°N 97.4943°W
OR,43.9336°N 120.5583°W
PA,40.8781°N 77.7996°W
RI,41.6762°N 71.5562°W
SC,33.9169°N 80.8964°W
SD,44.4443°N 100.2263°W
TN,35.8580°N 86.3505°W
TX,31.4757°N 99.3312°W
UT,39.3055°N 111.6703°W
VT,44.0687°N 72.6658°W
VA,37.5215°N 78.8537°W
WA,47.3826°N 120.4472°W
WV,38.6409°N 80.6227°W
WI,44.6243°N 89.9941°W
WY,42.9957°N 107.5512°W
